Gene stable ID,Transcript stable ID,UniProtKB/TrEMBL ID,Plant Reactome Reaction ID
AT5G53550,AT5G53550.6,A0A178U7D6,
AT5G53550,AT5G53550.1,A0A178U7D6,
AT5G53550,AT5G53550.3,A0A178U7D6,
ATMG01120,ATMG01120.1,A0A178U7D7,
AT5G41590,AT5G41590.1,A0A178U7D9,
AT5G37940,AT5G37940.1,A0A178U7E0,
AT1G64780,AT1G64780.1,A0A178U7E1,
AT5G43560,AT5G43560.2,A0A178U7E2,
AT5G09805,AT5G09805.1,A0A178U7E3,
AT5G07270,AT5G07270.1,A0A178U7E4,
AT5G67130,AT5G67130.1,A0A178U7E7,
AT5G16660,AT5G16660.1,A0A178U7E8,
AT3G11710,AT3G11710.1,A0A178U7F2,
AT5G35530,AT5G35530.1,A0A178U7F3,
AT5G49140,AT5G49140.1,A0A178U7F4,
AT5G50070,AT5G50070.1,A0A178U7F5,
AT5G50080,AT5G50080.1,A0A178U7F5,
AT3G14460,AT3G14460.1,A0A178U7F7,
AT5G58410,AT5G58410.1,A0A178U7F8,
ATMG00690,ATMG00690.1,A0A178U7G0,
AT4G21580,AT4G21580.1,A0A178U7G1,
AT5G09540,AT5G09540.1,A0A178U7G2,
AT5G04470,AT5G04470.1,A0A178U7G4,
AT5G18040,AT5G18040.1,A0A178U7G5,
AT5G47380,AT5G47380.1,A0A178U7G7,
AT5G47690,AT5G47690.2,A0A178U7G8,
AT5G10190,AT5G10190.1,A0A178U7H2,
AT5G62980,AT5G62980.2,A0A178U7H3,R-ATH-1119523
AT5G62980,AT5G62980.2,A0A178U7H3,R-ATH-1119265
AT1G36100,AT1G36100.1,A0A178U7H4,
AT5G09400,AT5G09400.1,A0A178U7H5,
AT5G07160,AT5G07160.1,A0A178U7H6,
AT5G66280,AT5G66280.1,A0A178U7H7,R-ATH-1119428
AT5G66280,AT5G66280.1,A0A178U7H7,R-ATH-1119620
AT5G66430,AT5G66430.1,A0A178U7H8,
AT5G24320,AT5G24320.1,A0A178U7I0,
